id,query,expected_behavior,expected_intent_class,expected_metric,expected_dimension,expected_time_or_filter,unsupported_reason,aegis_correct,aegis_reason,aegis_needs_human_review,b1_correct,b1_reason,b1_needs_human_review,b2_correct,b2_reason,b2_needs_human_review,b3_correct,b3_reason,b3_needs_human_review
93,How many orders were flagged for potential duplicate payment this week?,clarify_or_reject,Exception,order_count,,current_week,duplicate-payment review flag is not in the benchmark schema,False,duplicate-payment review flag is not in the benchmark schema,False,False,duplicate-payment review flag is not in the benchmark schema,False,False,duplicate-payment review flag is not in the benchmark schema,False,False,duplicate-payment review flag is not in the benchmark schema,False
94,What is the total number of units returned because of incorrect product descriptions?,clarify_or_reject,Exception,refund,,,return reason text is not in the benchmark schema,False,return reason text is not in the benchmark schema,False,False,return reason text is not in the benchmark schema,False,False,return reason text is not in the benchmark schema,False,False,return reason text is not in the benchmark schema,False
95,Which 5 upsell offers generated the most additional revenue when presented at checkout?,clarify_or_reject,Ranking,revenue,,,upsell offer attribution is not in the benchmark schema,False,upsell offer attribution is not in the benchmark schema,False,False,upsell offer attribution is not in the benchmark schema,False,False,upsell offer attribution is not in the benchmark schema,False,False,upsell offer attribution is not in the benchmark schema,False
96,How many customers abandoned checkout after seeing shipping costs in the last 48 hours?,answer,Funnel,shipping_cost,,,,False,missing expected metric evidence: shipping_cost,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,query asks for one aggregate value but SQL groups the result,False
97,What is the average rating for products that were returned more than twice?,answer,Exception,refund,,,,False,query asks for one aggregate value but SQL groups the result,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: refund,False
98,Which 8 seasonal products exceeded their forecasted sales by more than 20% this year?,clarify_or_reject,Exception,revenue,,,forecasting is outside the current SQL-only evaluation scope,False,forecasting is outside the current SQL-only evaluation scope,False,False,forecasting is outside the current SQL-only evaluation scope,False,False,forecasting is outside the current SQL-only evaluation scope,False,False,forecasting is outside the current SQL-only evaluation scope,False
99,How many orders were processed using a third‑party marketplace integration today?,clarify_or_reject,KPI,order_count,,today,marketplace integration source is not in the semantic layer,False,marketplace integration source is not in the semantic layer,False,False,marketplace integration source is not in the semantic layer,False,False,marketplace integration source is not in the semantic layer,False,False,marketplace integration source is not in the semantic layer,False
100,What is the total cost saved by automating order invoicing in the past six months?,clarify_or_reject,KPI,order_count,,,automation cost saving is not in the benchmark schema,False,automation cost saving is not in the benchmark schema,False,False,automation cost saving is not in the benchmark schema,False,False,automation cost saving is not in the benchmark schema,False,False,automation cost saving is not in the benchmark schema,False
101,What do customers say in their reviews about our shipping speed?,clarify_or_reject,Unsupported/Mixed,order_count,,,free-text sentiment/review analysis is outside current analytics scope,False,free-text sentiment/review analysis is outside current analytics scope,False,False,free-text sentiment/review analysis is outside current analytics scope,False,False,free-text sentiment/review analysis is outside current analytics scope,False,False,free-text sentiment/review analysis is outside current analytics scope,False
102,Forecast next month's total revenue based on historical trends.,clarify_or_reject,Unsupported/Mixed,revenue,,,forecasting is outside the current SQL-only evaluation scope,False,forecasting is outside the current SQL-only evaluation scope,False,False,forecasting is outside the current SQL-only evaluation scope,False,False,forecasting is outside the current SQL-only evaluation scope,False,False,forecasting is outside the current SQL-only evaluation scope,False
103,Which employee handled the most customer support tickets this week?,clarify_or_reject,Unsupported/Mixed,order_count,,current_week,support-ticket data is not in the benchmark schema; employee/support ownership data is not in the benchmark schema,False,support-ticket data is not in the benchmark schema; employee/support ownership data is not in the benchmark schema,False,False,support-ticket data is not in the benchmark schema; employee/support ownership data is not in the benchmark schema,False,False,support-ticket data is not in the benchmark schema; employee/support ownership data is not in the benchmark schema,False,False,support-ticket data is not in the benchmark schema; employee/support ownership data is not in the benchmark schema,False
104,What is our average page load time for the checkout page?,clarify_or_reject,Unsupported/Mixed,order_count,,,web-performance telemetry is not in the benchmark schema,False,web-performance telemetry is not in the benchmark schema,False,False,web-performance telemetry is not in the benchmark schema,False,False,web-performance telemetry is not in the benchmark schema,False,False,web-performance telemetry is not in the benchmark schema,False
105,Cancel all orders that have been stuck in Pending status for more than 30 days.,reject_write_request,Unsupported/Mixed,order_count,order_status,,"write action should be rejected or clarified, not converted into write SQL",False,"write action should be rejected or clarified, not converted into write SQL",False,False,"write action should be rejected or clarified, not converted into write SQL",False,False,"write action should be rejected or clarified, not converted into write SQL",False,False,"write action should be rejected or clarified, not converted into write SQL",False
106,How is the business doing overall?,clarify_or_reject,Unsupported/Mixed,order_count,,,vague business-health request lacks a specific metric or grouping,False,vague business-health request lacks a specific metric or grouping,False,False,vague business-health request lacks a specific metric or grouping,False,False,vague business-health request lacks a specific metric or grouping,False,False,vague business-health request lacks a specific metric or grouping,False
107,Show revenue trend by month and also rank the top 5 customers by spend in the same report.,multi_part_answer,Unsupported/Mixed,revenue,date_and_customer,,compound request asks for two result shapes in one answer,False,requires both monthly revenue trend and top customer ranking,False,True,requires both monthly revenue trend and top customer ranking,False,True,requires both monthly revenue trend and top customer ranking,False,False,requires both monthly revenue trend and top customer ranking,False
